# TiO2_oxigeno_T1
# Longitud_de_onda[nm]	Indice_refraccion
507.3784	2.480877
506.8880	2.482505
506.3976	2.484134
505.9070	2.485766
505.4163	2.487399
504.9255	2.489034
504.4346	2.490672
503.9436	2.492311
503.4525	2.493952
502.9612	2.495595
502.4698	2.497240
501.9784	2.498887
501.4868	2.500535
500.9951	2.502186
500.5033	2.503839
500.0114	2.505493
499.5193	2.507149
499.0272	2.508807
498.5349	2.510467
498.0426	2.512128
497.5501	2.513792
497.0575	2.515457
496.5648	2.517124
496.0720	2.518793
495.5790	2.520463
495.0860	2.522136
494.5928	2.523810
494.0995	2.525486
493.6062	2.527163
493.1127	2.528842
492.6190	2.530523
492.1253	2.532205
491.6315	2.533889
491.1375	2.535575
490.6435	2.537263
490.1493	2.538952
489.6550	2.540643
489.1606	2.542335
488.6661	2.544029
488.1714	2.545724
487.6767	2.547421
487.1818	2.549120
486.6869	2.550820
486.1918	2.552521
485.6966	2.554224
485.2013	2.555929
484.7058	2.557635
484.2103	2.559342
483.7146	2.561051
483.2189	2.562761
482.7230	2.564473
482.2270	2.566186
481.7309	2.567900
481.2346	2.569616
480.7383	2.571333
480.2419	2.573051
479.7453	2.574771
479.2486	2.576492
478.7518	2.578214
478.2549	2.579938
477.7579	2.581662
477.2608	2.583388
476.7635	2.585115
476.2662	2.586843
475.7687	2.588572
475.2711	2.590303
474.7734	2.592034
474.2756	2.593767
473.7776	2.595500
473.2796	2.597235
472.7814	2.598971
472.2831	2.600707
471.7848	2.602444
471.2863	2.604183
470.7876	2.605923
470.2889	2.607663
469.7900	2.609404
469.2911	2.611146
468.7920	2.612889
468.2928	2.614632
467.7935	2.616376
467.2941	2.618121
466.7945	2.619867
466.2949	2.621613
465.7951	2.623361
465.2952	2.625108
464.7952	2.626857
464.2951	2.628605
463.7949	2.630355
463.2946	2.632105
462.7941	2.633855
462.2935	2.635606
461.7928	2.637357
461.2921	2.639109
460.7911	2.640861
460.2901	2.642613
459.7889	2.644366
459.2877	2.646119
458.7863	2.647872
458.2848	2.649625
457.7832	2.651378
457.2815	2.653132
456.7796	2.654886
456.2777	2.656639
455.7756	2.658393
455.2734	2.660147
454.7711	2.661901
454.2687	2.663654
453.7662	2.665408
453.2635	2.667161
452.7608	2.668914
452.2579	2.670667
451.7549	2.672420
451.2518	2.674172
450.7485	2.675924
450.2452	2.677676
449.7417	2.679427
449.2382	2.681177
448.7345	2.682927
448.2307	2.684677
447.7267	2.686426
447.2227	2.688174
446.7186	2.689922
446.2143	2.691669
445.7099	2.693415
445.2054	2.695160
444.7008	2.696904
444.1960	2.698648
443.6912	2.700390
443.1862	2.702131
442.6812	2.703871
442.1759	2.705611
441.6706	2.707349
441.1652	2.709085
440.6596	2.710821
440.1540	2.712555
