# TiO2_RTP_oxigeno
# Longitud_de_onda[nm]	Indice_refraccion
541.4257	2.363105
540.9431	2.364574
540.4604	2.366045
539.9777	2.367517
539.4948	2.368993
539.0118	2.370470
538.5286	2.371950
538.0454	2.373431
537.5621	2.374915
537.0786	2.376401
536.5950	2.377890
536.1114	2.379380
535.6276	2.380873
535.1437	2.382367
534.6597	2.383864
534.1756	2.385363
533.6913	2.386865
533.2070	2.388368
532.7226	2.389874
532.2380	2.391382
531.7534	2.392891
531.2686	2.394403
530.7837	2.395917
530.2987	2.397434
529.8136	2.398952
529.3284	2.400473
528.8430	2.401996
528.3576	2.403520
527.8720	2.405047
527.3864	2.406576
526.9006	2.408108
526.4147	2.409641
525.9287	2.411176
525.4426	2.412714
524.9564	2.414254
524.4700	2.415796
523.9836	2.417339
523.4971	2.418885
523.0104	2.420433
522.5236	2.421983
522.0367	2.423536
521.5497	2.425090
521.0626	2.426646
520.5754	2.428205
520.0881	2.429765
519.6006	2.431328
519.1131	2.432892
518.6254	2.434459
518.1377	2.436027
517.6498	2.437598
517.1618	2.439171
516.6737	2.440745
516.1855	2.442322
515.6971	2.443901
515.2087	2.445482
514.7202	2.447064
514.2314	2.448650
513.7427	2.450236
513.2538	2.451825
512.7648	2.453416
512.2757	2.455008
511.7864	2.456603
511.2971	2.458200
510.8076	2.459798
510.3181	2.461399
509.8284	2.463001
509.3386	2.464606
508.8488	2.466211
508.3587	2.467820
507.8686	2.469430
507.3784	2.471042
506.8880	2.472656
506.3976	2.474271
505.9070	2.475889
505.4163	2.477509
504.9255	2.479130
504.4346	2.480753
503.9436	2.482378
503.4525	2.484005
502.9612	2.485634
502.4698	2.487264
501.9784	2.488896
501.4868	2.490530
500.9951	2.492166
500.5033	2.493804
500.0114	2.495443
499.5193	2.497084
499.0272	2.498727
498.5349	2.500372
498.0426	2.502018
497.5501	2.503666
497.0575	2.505315
496.5648	2.506967
496.0720	2.508620
495.5790	2.510275
495.0860	2.511931
494.5928	2.513589
494.0995	2.515248
493.6062	2.516909
493.1127	2.518572
492.6190	2.520237
492.1253	2.521902
491.6315	2.523570
491.1375	2.525239
490.6435	2.526909
490.1493	2.528581
489.6550	2.530255
489.1606	2.531930
488.6661	2.533606
488.1714	2.535284
487.6767	2.536963
487.1818	2.538644
486.6869	2.540326
486.1918	2.542010
485.6966	2.543694
485.2013	2.545381
484.7058	2.547069
484.2103	2.548757
483.7146	2.550448
483.2189	2.552139
482.7230	2.553832
482.2270	2.555526
481.7309	2.557221
481.2346	2.558918
480.7383	2.560615
480.2419	2.562314
479.7453	2.564014
479.2486	2.565715
478.7518	2.567418
