# TiO2_aire_T1-2
# wavelength_nm	indice_refraccion
489.1606	2.443005
488.6661	2.444599
488.1714	2.446195
487.6767	2.447793
487.1818	2.449394
486.6869	2.450996
486.1918	2.452601
485.6966	2.454207
485.2013	2.455816
484.7058	2.457427
484.2103	2.459040
483.7146	2.460655
483.2189	2.462271
482.7230	2.463890
482.2270	2.465511
481.7309	2.467134
481.2346	2.468760
480.7383	2.470387
480.2419	2.472015
479.7453	2.473646
479.2486	2.475279
478.7518	2.476914
478.2549	2.478551
477.7579	2.480190
477.2608	2.481830
476.7635	2.483473
476.2662	2.485117
475.7687	2.486763
475.2711	2.488412
474.7734	2.490062
474.2756	2.491714
473.7776	2.493368
473.2796	2.495023
472.7814	2.496681
472.2831	2.498340
471.7848	2.500000
471.2863	2.501663
470.7876	2.503328
470.2889	2.504994
469.7900	2.506662
469.2911	2.508332
468.7920	2.510003
468.2928	2.511676
467.7935	2.513351
467.2941	2.515028
466.7945	2.516706
466.2949	2.518385
465.7951	2.520067
465.2952	2.521750
464.7952	2.523434
464.2951	2.525120
463.7949	2.526808
463.2946	2.528497
462.7941	2.530187
462.2935	2.531880
461.7928	2.533573
461.2921	2.535268
460.7911	2.536965
460.2901	2.538663
459.7889	2.540362
459.2877	2.542062
458.7863	2.543765
458.2848	2.545468
457.7832	2.547173
457.2815	2.548878
456.7796	2.550586
456.2777	2.552294
455.7756	2.554004
455.2734	2.555715
454.7711	2.557427
454.2687	2.559140
453.7662	2.560855
453.2635	2.562570
452.7608	2.564287
452.2579	2.566004
451.7549	2.567723
451.2518	2.569443
450.7485	2.571164
450.2452	2.572885
449.7417	2.574608
449.2382	2.576332
448.7345	2.578056
448.2307	2.579781
447.7267	2.581508
447.2227	2.583235
446.7186	2.584962
446.2143	2.586691
445.7099	2.588420
445.2054	2.590150
444.7008	2.591880
444.1960	2.593612
443.6912	2.595343
443.1862	2.597076
442.6812	2.598808
442.1759	2.600542
441.6706	2.602276
441.1652	2.604010
440.6596	2.605745
440.1540	2.607479
