# Lambda(nm) R(%)
4.669172932330827166e+02 1.163384989719723622e-01
4.684210526315789593e+02 1.133744028428951695e-01
4.699248120300752021e+02 1.105728932663892633e-01
4.714285714285714448e+02 1.080749900559839355e-01
4.729323308270676307e+02 1.056678627647562180e-01
4.744360902255639303e+02 1.028441802786790593e-01
4.759398496240601162e+02 1.000268422281973268e-01
4.774436090225564158e+02 9.751895468731576477e-02
4.789473684210526017e+02 9.545394900614982692e-02
4.804511278195489012e+02 9.342839292816322583e-02
4.819548872180450871e+02 9.133469008938971401e-02
4.834586466165413867e+02 8.928090856368431361e-02
4.849624060150375726e+02 8.733591326113085418e-02
4.864661654135338722e+02 8.549876996950739327e-02
4.879699248120300581e+02 8.373972121343421782e-02
4.894736842105263577e+02 8.205789603273873356e-02
4.909774436090225436e+02 8.045147953033569832e-02
4.924812030075187863e+02 7.890875567696264969e-02
4.939849624060150290e+02 7.740839753958821123e-02
4.954887218045112718e+02 7.598261682698614905e-02
4.969924812030075145e+02 7.461540049376401418e-02
4.984962406015037573e+02 7.331785419785731561e-02
5.000000000000000000e+02 7.207569989628997975e-02
5.015037593984962427e+02 7.110579218213790298e-02
5.030075187969924855e+02 7.019543615254339453e-02
5.045112781954887282e+02 6.936339926485821095e-02
5.060150375939849710e+02 6.861700570602453919e-02
5.075187969924812137e+02 6.791980886275866824e-02
5.090225563909774564e+02 6.721206013577163407e-02
5.105263157894736423e+02 6.652839741676197516e-02
5.120300751879699419e+02 6.590871646392905403e-02
5.135338345864661278e+02 6.533427010423628611e-02
5.150375939849624274e+02 6.480527709100612765e-02
5.165413533834586133e+02 6.431455888024832646e-02
5.180451127819549129e+02 6.385902779746166491e-02
5.195488721804510988e+02 6.344457746132069198e-02
5.210526315789473983e+02 6.314194475949372332e-02
5.225563909774435842e+02 6.289167558049177376e-02
5.240601503759398838e+02 6.267883713265812173e-02
5.255639097744360697e+02 6.250163588086200817e-02
5.270676691729323693e+02 6.237096322854462915e-02
5.285714285714285552e+02 6.228049375632115775e-02
5.300751879699248548e+02 6.222473350638078882e-02
5.315789473684210407e+02 6.216727151610630664e-02
5.330827067669172266e+02 6.213680349782987888e-02
5.345864661654135261e+02 6.212157263433037979e-02
5.360902255639098257e+02 6.209715426741518884e-02
5.375939849624060116e+02 6.209025518023897350e-02
5.390977443609021975e+02 6.211363192368012792e-02
5.406015037593984971e+02 6.221020396859053975e-02
5.421052631578947967e+02 6.233573451995617909e-02
5.436090225563909826e+02 6.248519578133755054e-02
5.451127819548871685e+02 6.263335663079766524e-02
5.466165413533834680e+02 6.280022725904367553e-02
5.481203007518797676e+02 6.299364002262525242e-02
5.496240601503759535e+02 6.326249594457390713e-02
5.511278195488721394e+02 6.359073349486313309e-02
5.526315789473684390e+02 6.395212820160220413e-02
5.541353383458646249e+02 6.425958791849764595e-02
5.556390977443609245e+02 6.447971471543470501e-02
5.571428571428571104e+02 6.471577661853912533e-02
5.586466165413534100e+02 6.499238799136758393e-02
5.601503759398495959e+02 6.536346818095295497e-02
5.616541353383458954e+02 6.579127189380098994e-02
5.631578947368420813e+02 6.623520629264914583e-02
5.646616541353382672e+02 6.665086928572271086e-02
5.661654135338345668e+02 6.705014675543236047e-02
5.676691729323308664e+02 6.746426818391505764e-02
5.691729323308270523e+02 6.790142244861160914e-02
5.706766917293232382e+02 6.838492798972695130e-02
5.721804511278195378e+02 6.888420693279459495e-02
5.736842105263158373e+02 6.939860072325414186e-02
5.751879699248120232e+02 6.992584778268583212e-02
5.766917293233082091e+02 7.046064713390384759e-02
5.781954887218045087e+02 7.101009632243533709e-02
5.796992481203008083e+02 7.155132814857666224e-02
5.812030075187969942e+02 7.203528706635191348e-02
5.827067669172931801e+02 7.252690506044003060e-02
5.842105263157894797e+02 7.302563641938089600e-02
5.857142857142857792e+02 7.355862953746243604e-02
5.872180451127819651e+02 7.411457508532634519e-02
5.887218045112781510e+02 7.467930012925992622e-02
5.902255639097744506e+02 7.525624093737050269e-02
5.917293233082707502e+02 7.586201088727262398e-02
5.932330827067669361e+02 7.649032298768619620e-02
5.947368421052631220e+02 7.712336212660027279e-02
5.962406015037594216e+02 7.776320402701615564e-02
5.977443609022557212e+02 7.840274762984385248e-02
5.992481203007519071e+02 7.904167242792640991e-02
6.007518796992480929e+02 7.970263035692136400e-02
6.022556390977442788e+02 8.036904991342055937e-02
