## SPECTRUM TYPE:
LCE

## DATE:
25/06/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
11:21:13

# END TIME:
11:21:13

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
12

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
18 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
950.4633 8.603 32.042 0.30495 0.19086 0.936 1.16175 18.0000 13.27 0.6546 0.9893 1.304461 
950.0699 5.758 177.798 -0.21059 0.00810 -0.184 1.03446 18.0000 13.36 0.9614 1.8892 1.305001 
949.6763 8.192 187.400 -0.31503 -0.04091 -0.098 1.08055 18.0000 13.56 1.6709 2.9657 1.305542 
949.2827 8.382 187.492 -0.33616 -0.04421 -0.070 1.12551 18.0000 13.55 1.1504 2.6420 1.306083 
948.8890 8.184 192.400 -0.32320 -0.07106 -0.129 1.12672 18.0000 13.91 1.1422 2.5868 1.306625 
948.4953 8.969 180.229 -0.36365 -0.00145 0.009 1.12331 18.0000 13.88 1.2689 2.5083 1.307167 
948.1014 10.365 181.038 -0.42851 -0.00776 0.294 1.13242 18.0000 13.99 1.2376 1.7637 1.307710 
947.7075 6.850 173.884 -0.23699 0.02539 0.563 0.97768 18.0000 13.99 1.4955 2.1247 1.308254 
947.3135 6.591 157.162 -0.23490 0.09892 0.899 1.08817 18.0000 13.45 1.0900 2.1263 1.308798 
946.9194 5.828 126.795 -0.14361 0.19200 0.284 1.16221 18.0000 13.56 0.6913 2.3709 1.309343 
946.5253 6.294 149.898 -0.33925 0.19667 0.098 1.75589 18.0000 13.73 1.1654 2.7117 1.309888 
946.1310 11.298 150.744 -1.03729 0.58104 1.013 2.85671 18.0000 14.22 1.8760 3.1393 1.310434 
945.7367 5.614 133.887 -0.18978 0.19730 0.778 1.37912 18.0000 13.98 0.7943 2.6962 1.310980 
945.3423 14.091 153.515 -25.66566 12.78820 0.528 53.51776 18.0000 14.34 1.0902 2.7262 1.311527 
944.9478 12.763 152.933 -3.34512 1.70934 0.144 7.86631 18.0000 14.49 1.9778 3.1461 1.312074 
944.5532 13.627 153.063 -5.91011 3.00314 0.817 12.86985 18.0000 14.15 2.3527 3.3074 1.312623 
944.1586 75.371 332.635 43.40109 -22.46308 -3.317 -87.23247 18.0000 14.30 2.5264 3.2865 1.313171 
943.7639 72.946 331.577 1.88048 -1.01775 1.230 -3.15717 18.0000 14.42 2.4703 3.0737 1.313720 
943.3691 72.457 330.895 3.06008 -1.70359 1.816 -4.98603 18.0000 14.40 1.9554 2.9300 1.314270 
942.9742 67.028 334.490 1.24982 -0.59639 1.773 -1.33995 18.0000 14.60 1.1951 2.4595 1.314821 
942.5792 4.860 15.869 0.15096 0.04291 0.899 0.91616 18.0000 14.71 0.6711 2.1349 1.315372 
942.1841 9.588 139.653 -0.49478 0.42030 -1.349 1.86671 18.0000 14.71 1.3907 2.2689 1.315923 
941.7890 6.146 100.243 -0.03850 0.21302 -1.249 0.99348 18.0000 14.87 0.7733 1.3760 1.316475 
941.3938 6.921 131.682 -0.15891 0.17848 -30.927 0.96980 18.0000 14.87 0.7067 0.8058 1.317028 
940.9985 15.988 41.819 0.35908 0.32127 0.436 0.77176 18.0000 15.06 0.6958 0.7521 1.317581 
940.6031 8.248 123.465 -0.15247 0.23065 -6.850 0.93370 18.0000 14.98 0.6736 0.7779 1.318135 
940.2077 14.355 160.197 -0.45574 0.16410 2.650 0.88441 18.0000 15.00 0.6973 0.8573 1.318689 
939.8122 18.515 174.129 -0.65513 0.06737 3.134 0.87303 18.0000 15.19 0.7403 0.9255 1.319244 
939.4166 18.042 183.006 -0.66488 -0.03492 1.504 0.91354 18.0000 15.14 0.8500 1.0151 1.319800 
939.0209 18.427 177.474 -0.68942 0.03042 -4.690 0.92068 18.0000 14.98 0.8818 1.0802 1.320356 
938.6251 18.059 178.154 -0.63389 0.02043 1.032 0.86918 18.0000 15.14 0.8823 1.0417 1.320913 
938.2292 16.251 182.032 -0.49776 -0.01766 0.952 0.78175 18.0000 15.27 0.7924 0.8874 1.321470 
937.8333 13.536 178.658 -0.46381 0.01086 0.928 0.90771 18.0000 15.36 0.8927 0.9848 1.322028 
937.4373 13.200 170.893 -0.41252 0.06613 -2.527 0.84160 18.0000 15.84 0.6634 0.9258 1.322586 
937.0412 3.868 0.148 0.09834 0.00025 9.710 0.72382 18.0000 15.71 0.6351 0.7224 1.323146 
936.6450 3.166 184.287 -0.08919 -0.00669 0.967 0.80604 18.0000 15.46 0.8545 1.0946 1.323705 
936.2487 3.069 192.651 -0.09252 -0.02077 0.950 0.88164 18.0000 15.64 1.0826 1.5200 1.324266 
935.8524 3.082 206.937 -0.07879 -0.04004 0.701 0.81829 18.0000 15.84 1.1322 1.7662 1.324826 
935.4560 2.671 220.601 -0.05352 -0.04587 0.951 0.75372 18.0000 15.99 1.0666 1.7752 1.325388 
935.0594 2.981 293.625 0.03074 -0.07027 -0.452 0.73437 18.0000 16.20 1.0490 1.7163 1.325950 
