# TiO2_RTP_aire
# Longitud_de_onda[nm]	Indice_refraccion
460.2901	2.539036
459.7889	2.540737
459.2877	2.542439
458.7863	2.544142
458.2848	2.545847
457.7832	2.547553
457.2815	2.549260
456.7796	2.550969
456.2777	2.552679
455.7756	2.554390
455.2734	2.556102
454.7711	2.557816
454.2687	2.559531
453.7662	2.561246
453.2635	2.562963
452.7608	2.564681
452.2579	2.566401
451.7549	2.568121
451.2518	2.569842
450.7485	2.571565
450.2452	2.573288
449.7417	2.575012
449.2382	2.576737
448.7345	2.578463
448.2307	2.580190
447.7267	2.581918
447.2227	2.583646
446.7186	2.585375
446.2143	2.587105
445.7099	2.588836
445.2054	2.590568
444.7008	2.592300
444.1960	2.594033
443.6912	2.595766
443.1862	2.597500
442.6812	2.599234
442.1759	2.600970
441.6706	2.602705
441.1652	2.604441
440.6596	2.606178
440.1540	2.607914
